"name","url","notes","email","phone","contact","type_community","civic_taxonomy","district","neighborhood","categories","ownership","ethnicity","size_organization","address","zipcode","source"
"Wallingford Neighborhood","http://www.wallingford.org/","Provide community news and information","WNO@wallingford.org","206-632-3165 ",,"Media","Neighborhood","Lake Union","Wallingford","Information","Media",,,"2100-A North 45th Street  ",98103,"DOIT"
"Wallingford Network","http://wallingford.org/","Provide information and connect the Wallingford neighborhood","wno@wallingford.org","206-632-3165 ",,"Media","Neighborhood","Lake Union","Wallingford","Information","Media",,,"2100-A N 45th St",98103,"DPR"
"Wallyhood","http://www.wallyhood.org/","Provide community news and information","blog@wallyhood.org",,"Jordan Schwartz","Media","Neighborhood","Lake Union","Wallingford","Information","Media",,,,98103,"DOIT"
"Washington Community Alliance for Self Help","http://washingtoncash.org/","Provides business training, supportive community and capital to help individuals gain self-sufficiency through small business ownership","info@washingtoncash.org","206-352-1945",,"Social justice","Employment","Citywide",,"Service provider","Nonprofit",,17,"2100 - 24th Ave S Suite 380",98144,"DPR"
"Washington Conservation Voters","http://wcvoters.org/","Advocate responsible environmental policies and support strong environmental candidates","info@wcvoters.org; kurt@wcvoters.org","206-374-0760","Kurt Fritts","Environment","Social action","Citywide",,"Advocacy","Nonprofit",,7,"1402 3rd Ave Suite 1400",98101,"DPR"
"Washington Ensemble Theatre: Queer Teen Ensemble Theatre","http://www.washingtonensemble.org/qtet","Provide performance opportunities to queer teens","Website","206-325-5105","Jessica Hatlo","Youth & family","LGBT; Arts","East","Capitol Hill","Service provider","Nonprofit",,,"608 19th Ave E",98112,"DON"
"Washington Literacy Council","http://literacyseattle.org/","Teach adults the English skills they need for success in their jobs, families, and community","info@literacyseattle.org; khanhcn@juno.com","206-233-9720",,"Social justice","Education","Ballard","Crown Hill","Education","Nonprofit",,1,"8500 14th Ave NW, Crown Hill UMC",98117,"DPR"
"Washington Trails Association","http://www.wta.org/","Protect and maintain hiking trails","lauren@wta.org","206-625-1367","Lauren Braden","Environment","Resources","Citywide",,"Service provider","Nonprofit",,20,"2019 Third Ave Suite 100",98101,"DPR"
"Washington Water Trails Association","http://www.wwta.org/","Promote advocacy, education, and stewardship of waterways for use by human and wind powered watercraft","wwta@wwta.org","206-545-9161",,"Environment","Resources","Citywide",,"Advocacy","Nonprofit",,3,"4649 Sunnyside Ave N #305",98103,"DPR"
"Wedgwood Community Church","http://www.wedgwoodchurch.org/","Support the community with religious services","kurtwestman9360@msn.com","206-523-9360","Kurt Westman","Community council","Neighborhood","Northeast","Wedgwood","Service provider","Community group",,,"7526 42nd Ave NE",98115,"DON"
"Wedgwood Community Council","http://www.wedgwoodcc.org/groups/wcc/wcc.htm","Provide a community forum to address issues","mailman@wedgwoodcc.org; kurtwestman9360@msn.com",,"Kurt Westman","Community council","Neighborhood","Northeast","Wedgwood","Advocacy","Community group",,0,"PO Box 15770",98115,"DPR"
"Wedgwood View","http://www.wedgwoodview.com/","Provide community news and information","tips@wedgwoodview.com",,"Wayne Wurzer","Media","Neighborhood","Northeast","Wedgwood","Information","Media",,,,98115,"DOIT"
"Wellspring Family Services","http://www.wellspringfs.org/","Build emotionally healthy, self-sufficient families and a non-violent community in which they can thrive","info@wellspringfs.org","206-826-3050",,"Youth & family","Abuse; Employment; Homelessness; Education","Citywide","Downtown, Lake City, South Seattle","Service provider","Nonprofit",,"Regional","1900 Rainier Ave S",98144,"DON"
"West Seattle Blog","http://westseattleblog.com/","Provide community news and information","editor@westseattleblog.com","206-293-6302","Tracy Record","Media","Neighborhood","Southwest",,"Information","Media",,,,98116,"DOIT"
"West Seattle Chamber of Commerce","http://wschamber.com/","Advocate for the West Seattle business community","info@wschamber.com; pmullen@wschamber.com","206-932-5685","Patti Mullen","Business","Neighborhood","Southwest",,"Advocacy","Community group",,0,"3614-A California Ave SW",98116,"DON"
"West Seattle Community Safety Partnership",,"Promote safety in West Seattle","jennifer@sngi.org","206-322-6134","Jennifer Duong","Community council","Public safety","Southwest",,"Advocacy","Community group",,0,,98116,"DPR"
"West Seattle Food Bank","http://westseattlefoodbank.org/","Provide food, nutrition education, community services, and advocacy","anna@westseattlefoodbank.org","206-932-9023","Anna Guitchounts","Social justice","Emergency; Health","Citywide","South Seattle","Service provider","Nonprofit",,5,"3419 SW Morgan Street",98126,"DPR"
"West Seattle Helpline","http://www.westseattlehelpline.org/","Provide information, referrals, and limited financial assistance to help working families in need from neighbors to neighbors","wshelpline@gmail.com","206-932-4357","Anna Fern","Media","Social justice","Citywide","South Seattle","Information","Media",,1,"6516 35th Ave SW # 204 ",98126,"DPR"
"West Seattle Junction Association","http://wsjunction.org/","Develop, promote and participate in a healthy social, economic and environmental climate","wsja@wsjunction.com","206-935-0904 ","Susan Melrose","Community council","Neighborhood","Southwest","Junction","Service provider","Community group",,,"4210 SW Oregon Street, Suite A",98116,"DON"
"West Seattle Soccer Club","http://www.westseattlesoccer.org/","Soccer club for West Seattle youth ages 5-18","wsscboard@gmail.com","206-935-6343",,"Youth & family","Health","Southwest",,"Service provider","Community group",,0,"PO Box 16266 ",98116,"DPR"
"West Seattle YMCA","http://www.seattleymca.org/page.cfm?ID=ws","Encourage all people to develop their fullest potential in spirit, mind and body","whobson@seattleymca.org","206-935-6000","Wendy Hobson","Social justice","Health","Citywide","South Seattle","Service provider","Nonprofit",,"Regional ","4515 36th Ave SW",98126,"DPR"
"Westwood Neighborhood Council","http://www.scn.org/westwood/","Improve and maintain the quality of life in the Westwood community","s.fischer@mindspring.com","206-937-6096","Steve Fischer","Community council","Neighborhood","Delridge","Westwood Heights","Service provider","Community group",,0,"8438 32nd Ave SW",98126,"DON"
"Westwood/Highland Park Neighborhood Planning Committee","http://www.cityofseattle.net/Neighborhoods/npi/stewards.htm","Provide neighborhood upkeep and improvement","s.fischer@mindspring.com","206-937-6096","Steve Fischer","Community council","Planning","Delridge","Highland Park","Service provider","Community group",,0,,98126,"DPR"
"White Center Chamber of Commerce","http://www.whitecenterchamber.org/","Promote the general welfare and prosperity of the district of White Center","wcchamber@hotmail.com","206-763-4196",,"Business","Neighborhood","Delridge","White Center","Advocacy","Community group",,0,"1327 SW 102nd",98146,"DON"
"White Center Community Development Association","http://www.wccda.org/home","Promote a vibrant neighborhood and high quality of life for White Center residents and stakeholders","aileen@wccda.org","206-694-1082","Aileen Balahadia","Community council","Neighborhood","Delridge","White Center","Service provider","Nonprofit",,11,"1615 SW Cloverdale",98106,"DON"
"White Center Now","http://whitecenternow.com/","Provide community news and information","whitecenternow@gmail.com",,"Ricardo Guarnero and Justin Cline","Media","Neighborhood","Delridge","White Center","Information","Media",,,,98146,"Online"
"White Center Samoan Assembly of God","http://whitecenterassembly.com/","Provide church services to the Samoan community","danandmabel@comcast.net","206-763-0764","Pastor Dan Magalei","RSJ","Community","Delridge","White Center","Service provider","Community group","Samoan",,"10237 16th Ave SW",98146,"DON"
"Whittier Heights Community Council","http://www.whittierheights.org/","Help residents shape neighborhood","awm@alum.mit.edu",,"Andy MacDonald","Community council","Neighborhood","Ballard","Whittier Heights","Advocacy","Community group",,0,,98117,"DPR"
"Willowcrest Neighborhood Council",,"Address community issues",,,"Chris Boe","Community council","Neighborhood","Delridge","Willowcrest","Advocacy","Community group",,0,"2425 SW Webster St #B6",98106,"DON"
"Windermere North Community Council",,"Address community issues","lynnferguson65@comcast.net","206-523-0391","Lynn Ferguson","Community council","Neighborhood","Northeast","University","Advocacy","Community group",,0,"6422 NE 60th",98115,"DON"
"Wing Luke Asian Museum","http://wingluke.org/home.htm","Provide a community gathering place to celebrate and learn about Asian culture in the Seattle area","Website","206-623-5124",,"RSJ","Education","Downtown","International District","Education","Nonprofit","Asian",25,"719 S King St",98104,"DON"
"Woman's Century Club","http://womanscenturyclub.org/","Supports education through scholarship grants and community service through civic action","president@womanscenturyclub.org","206-322-9565 ","Tammy Peterson","Social justice","Women; Social action","Citywide",,"Service provider","Nonprofit",,0,"807  E Roy St",98102,"DPR"
"Women's Freedom Center - West Seattle Community Resource Center",,"Provide advocacy and information in English and Spanish regarding intimate partner abuse",,,,"Youth & family","Abuse; RSJ","Citywide","South Seattle","Service provider","Community group",,,"3419 SW Morgan Street",98126,"DPR"
"World Relief Seattle","http://www.worldreliefseattle.org/","Help refuges begin new lives in Seattle area","jmcwilliams@wr.org","206-587-0234","Julianna McWilliams","RSJ","Immigration; Education; Employment","Downtown","International District","Service provider","Nonprofit",,12,"316 Maynard Ave S #101",98104,"DPR"
"Yesler Learning Center","http://www.seattle.gov/parks/centers/Yesler/lab.htm","Provide programs for youth, seniors, immigrants, and others",,"206-386-1245",,"Social justice","Education","East","Yesler Terrace","Education","Nonprofit",,,"917 E Yesler Way",98122,"DPR"
"Yesler Terrace Community Council",,"Address community issues","freijacat@hotmail.com","206-930-6228","Kristin O'Donnell","Community council","Neighborhood","East","Yesler Terrace","Advocacy","Community group",,0,"919 Spruce #682",98104,"DON"
"YMCA Earth Service Corps","http://www.ymcaearth.org/","Empowers youth through environmental education and action, leadership development and cross-cultural awareness","ablood@seattleymca.org","206-223-1628","Alicia Blood","Youth & family","Environment; Education","Citywide",,"Education","Nonprofit",,6,"909 4th Ave",98104,"DON"
"YMCA: Black Achievers Program","http://blackachieversprogram.org/","Helps youth explore career options, develop leadership skills, prepare for college, and participate in service learning and social activities","sjones@seattleymca.org; rbester@seattleymca.org","206-322-6969 ",,"Youth & family","RSJ; Education; Employment","Citywide",,"Service provider","Nonprofit","African American","Regional","1700 23rd Ave",98122,"DON"
"Young Playwrights Program - A Contemporary Theatre","http://www.acttheatre.org/Youth/Program","Provides playwright education in schools and supports work of student playwrights","kristina.sutherland@acttheatre.org","206-292-7660","Kristina Sutherland","Youth & family","Arts","Citywide",,"Education","Nonprofit",,50,"700 Union St",98101,"DON"
